City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mataura,NZ,77.11,clear sky,-46.1927,168.8643,Ellie's Villa
4,Necochea,AR,63.7,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
5,Tunceli,TR,45.46,scattered clouds,39.1083,39.5471,Grand Hotel Şaroğlu
7,Ushuaia,AR,44.26,few clouds,-54.8,-68.3,Albatross Hotel
8,Bethel,US,59.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
11,Lucapa,AO,62.92,overcast clouds,-8.4192,20.7447,Lírio Mendes
12,Cordele,US,68.72,moderate rain,31.9635,-83.7824,Ramada by Wyndham Cordele
13,Nortelandia,BR,74.44,heavy intensity rain,-14.4547,-56.8028,Pousada e Restaurante Santana
14,Diapaga,BF,79.07,overcast clouds,12.0708,1.7889,Hôtel GACILIE
15,Richards Bay,ZA,67.89,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
16,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
17,Jamestown,US,60.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Port Hardy,CA,41.54,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
23,Pali,IN,67.48,clear sky,25.7667,73.3333,HOTEL THE AMBA VILAS
24,Airai,TL,71.67,overcast clouds,-8.9266,125.4092,
26,Erzin,TR,59.56,clear sky,36.9559,36.2,Artemis Otel
27,Dingtao,CN,63.68,few clouds,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
28,Rikitea,PF,74.21,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Sinjar,IQ,57.22,few clouds,36.3209,41.8754,زوماني فون 1
30,Albany,US,57.58,clear sky,42.6001,-73.9662,
31,Odweyne,SO,72.77,light rain,9.4092,45.064,Eng Hiirey House
32,Nikolskoye,RU,48.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
33,Tutoia,BR,79.5,clear sky,-2.7619,-42.2744,Pousada Guará's
34,Morehead,US,65.79,clear sky,37.2711,-87.1764,CCI Express Inn
35,Atuona,PF,78.1,few clouds,-9.8,-139.0333,Villa Enata
38,Wilmington,US,73.31,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
39,Kabul,AF,43.09,clear sky,34.5,69.4167,Sardar Malang
40,Bredasdorp,ZA,59.83,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
44,Hobart,AU,73.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
46,Saint George,US,51.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
47,Faanui,PF,79.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Carnarvon,AU,70.11,clear sky,-24.8667,113.6333,Hospitality Carnarvon
50,Busselton,AU,58.37,scattered clouds,-33.65,115.3333,Observatory Guest House
51,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Bluff,NZ,58.24,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
54,Stornoway,GB,53.92,moderate rain,58.2093,-6.3865,Caladh Inn
55,East London,ZA,65.43,light rain,-33.0153,27.9116,Tu Casa
57,Lodja,CD,68.7,overcast clouds,-3.4833,23.4333,
60,Asau,RO,45.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
61,Sinnamary,GF,77.95,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
62,Vad,RU,43.21,overcast clouds,55.5301,44.2114,Riv'yera Rezort Otel'
63,Mmabatho,ZA,66.92,scattered clouds,-25.85,25.6333,Mahikeng Guest Apartments
64,Port Alfred,ZA,61.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
