City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushtobe,KZ,45.2514,77.9838,34.18,68,60,3.96,broken clouds
1,Deputatskiy,RU,69.3,139.9,-21.24,99,57,4.25,broken clouds
2,Akureyri,IS,65.6835,-18.0878,37.51,100,100,5.26,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,77.11,34,0,0.22,clear sky
4,Necochea,AR,-38.5473,-58.7368,63.7,67,70,4.59,broken clouds
5,Tunceli,TR,39.1083,39.5471,45.46,83,49,3.0,scattered clouds
6,Saskylakh,RU,71.9167,114.0833,-27.54,100,45,3.0,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,44.26,65,20,11.5,few clouds
8,Bethel,US,41.3712,-73.414,59.36,79,0,5.75,clear sky
9,Qaanaaq,GL,77.484,-69.3632,-7.02,58,0,8.12,clear sky
10,High River,CA,50.5834,-113.8687,6.87,95,5,4.36,clear sky
11,Lucapa,AO,-8.4192,20.7447,62.92,99,100,2.24,overcast clouds
12,Cordele,US,31.9635,-83.7824,68.72,88,100,11.5,moderate rain
13,Nortelandia,BR,-14.4547,-56.8028,74.44,78,7,5.21,heavy intensity rain
14,Diapaga,BF,12.0708,1.7889,79.07,27,100,4.65,overcast clouds
15,Richards Bay,ZA,-28.783,32.0377,67.89,86,97,3.44,overcast clouds
16,Avarua,CK,-21.2078,-159.775,77.05,69,75,16.11,broken clouds
17,Jamestown,US,42.097,-79.2353,60.39,60,0,9.22,clear sky
18,Sioux Lookout,CA,50.1001,-91.917,23.07,93,100,11.5,snow
19,Hare Bay,CA,48.8499,-54.0148,34.95,93,100,6.55,overcast clouds
20,Upernavik,GL,72.7868,-56.1549,11.57,85,94,5.68,overcast clouds
21,Bilibino,RU,68.0546,166.4372,-0.85,99,100,3.13,overcast clouds
22,Port Hardy,CA,50.6996,-127.4199,41.54,83,100,20.62,light rain
23,Pali,IN,25.7667,73.3333,67.48,42,0,5.19,clear sky
24,Airai,TL,-8.9266,125.4092,71.67,66,100,2.53,overcast clouds
25,Namatanai,PG,-3.6667,152.4333,84.43,71,95,7.96,moderate rain
26,Erzin,TR,36.9559,36.2,59.56,63,6,5.46,clear sky
27,Dingtao,CN,35.0683,115.5625,63.68,81,20,8.19,few clouds
28,Rikitea,PF,-23.1203,-134.9692,74.21,82,100,5.46,overcast clouds
29,Sinjar,IQ,36.3209,41.8754,57.22,57,15,5.48,few clouds
30,Albany,US,42.6001,-73.9662,57.58,76,9,2.8,clear sky
31,Odweyne,SO,9.4092,45.064,72.77,60,70,6.76,light rain
32,Nikolskoye,RU,59.7035,30.7861,48.79,92,100,6.64,overcast clouds
33,Tutoia,BR,-2.7619,-42.2744,79.5,83,9,11.74,clear sky
34,Morehead,US,37.2711,-87.1764,65.79,61,0,0.0,clear sky
35,Atuona,PF,-9.8,-139.0333,78.1,80,12,13.6,few clouds
36,Tiksi,RU,71.6872,128.8694,-15.2,100,98,4.52,overcast clouds
37,Hilo,US,19.7297,-155.09,82.11,71,24,5.01,few clouds
38,Wilmington,US,34.2257,-77.9447,73.31,92,100,11.99,overcast clouds
39,Kabul,AF,34.5,69.4167,43.09,55,0,3.67,clear sky
40,Bredasdorp,ZA,-34.5322,20.0403,59.83,82,2,12.59,clear sky
41,Butaritari,KI,3.0707,172.7902,81.36,78,16,18.41,few clouds
42,Kangaatsiaq,GL,68.3065,-53.4641,21.11,75,100,21.41,overcast clouds
43,Kahului,US,20.8947,-156.47,84.22,63,40,16.11,scattered clouds
44,Hobart,AU,-42.8794,147.3294,73.26,67,20,5.75,few clouds
45,Khatanga,RU,71.9667,102.5,-10.59,99,97,5.7,overcast clouds
46,Saint George,US,37.1041,-113.5841,51.94,41,0,8.99,clear sky
47,Faanui,PF,-16.4833,-151.75,79.03,77,55,6.17,light rain
48,Carnarvon,AU,-24.8667,113.6333,70.11,60,9,13.96,clear sky
49,Yellowknife,CA,62.456,-114.3525,7.38,94,21,10.2,few clouds
50,Busselton,AU,-33.65,115.3333,58.37,54,26,17.38,scattered clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,68.56,88,68,5.01,broken clouds
52,Bluff,NZ,-46.6,168.3333,58.24,69,0,10.25,clear sky
53,Pevek,RU,69.7008,170.3133,0.54,96,100,2.06,overcast clouds
54,Stornoway,GB,58.2093,-6.3865,53.92,93,75,11.5,moderate rain
55,East London,ZA,-33.0153,27.9116,65.43,87,100,18.77,light rain
56,Barrow,US,71.2906,-156.7887,26.62,93,75,17.27,broken clouds
57,Lodja,CD,-3.4833,23.4333,68.7,98,100,1.57,overcast clouds
58,Yar-Sale,RU,66.8333,70.8333,9.34,97,100,9.66,overcast clouds
59,Develi,TR,38.3906,35.4922,27.75,85,6,0.51,clear sky
60,Asau,RO,46.4333,26.4,45.52,91,100,2.8,overcast clouds
61,Sinnamary,GF,5.3833,-52.95,77.95,86,16,5.39,few clouds
62,Vad,RU,55.5301,44.2114,43.21,90,100,13.04,overcast clouds
63,Mmabatho,ZA,-25.85,25.6333,66.92,73,38,24.9,scattered clouds
64,Port Alfred,ZA,-33.5906,26.891,61.18,90,100,8.01,overcast clouds
